plotID,with_crypto,without_crypto,geom
65908,FALSE,TRUE,"c(25.22724, 45.56735)"
65898,FALSE,TRUE,"c(25.19508, 45.53182)"
65767,FALSE,TRUE,"c(25.1685, 47.45932)"
65768,FALSE,TRUE,"c(25.16856, 47.45931)"
65754,FALSE,TRUE,"c(25.17042, 47.46473)"
65772,FALSE,TRUE,"c(25.16515, 47.45925)"
65756,FALSE,TRUE,"c(25.16569, 47.46569)"
65766,FALSE,TRUE,"c(25.16846, 47.45931)"
65764,FALSE,TRUE,"c(25.18507, 47.47984)"
65762,FALSE,TRUE,"c(25.18665, 47.45955)"
65752,FALSE,TRUE,"c(25.19161, 47.47652)"
65760,FALSE,TRUE,"c(25.17188, 47.46212)"
65759,FALSE,FALSE,"c(25.18197, 47.48266)"
65757,FALSE,TRUE,"c(25.18458, 47.47654)"
66234,FALSE,FALSE,"c(25.25104, 47.10985)"
66285,FALSE,TRUE,"c(25.25636, 46.81855)"
66276,TRUE,TRUE,"c(25.25687, 46.81201)"
66235,FALSE,FALSE,"c(25.24732, 47.10672)"
66236,FALSE,TRUE,"c(25.24732, 47.10495)"
66233,FALSE,FALSE,"c(25.24953, 47.11231)"
66282,TRUE,TRUE,"c(25.25959, 46.82707)"
66260,FALSE,TRUE,"c(25.26043, 47.559)"
66261,FALSE,FALSE,"c(25.26176, 47.55934)"
66275,FALSE,TRUE,"c(25.25703, 46.81138)"
66283,FALSE,TRUE,"c(25.25857, 46.82644)"
66284,FALSE,TRUE,"c(25.25876, 46.82547)"
66227,FALSE,FALSE,"c(25.24647, 47.17435)"
66231,FALSE,FALSE,"c(25.23263, 47.18057)"
65905,FALSE,TRUE,"c(25.23337, 45.56057)"
65906,FALSE,FALSE,"c(25.23404, 45.54267)"
66230,FALSE,FALSE,"c(25.23056, 47.18197)"
66277,TRUE,TRUE,"c(25.23079, 46.77797)"
66290,TRUE,TRUE,"c(25.23119, 46.75423)"
65698,FALSE,TRUE,"c(25.23758, 45.54045)"
66228,FALSE,FALSE,"c(25.24506, 47.17584)"
66226,FALSE,FALSE,"c(25.24624, 47.17316)"
66229,FALSE,TRUE,"c(25.23619, 47.1553)"
65904,FALSE,TRUE,"c(25.23663, 45.56221)"
65697,FALSE,FALSE,"c(25.23749, 45.54045)"
65534,TRUE,TRUE,"c(25.01106, 45.47387)"
65529,TRUE,TRUE,"c(25.01961, 45.45541)"
65533,FALSE,FALSE,"c(25.03339, 45.52685)"
65524,TRUE,TRUE,"c(25.00221, 45.51513)"
65538,TRUE,TRUE,"c(25.00345, 45.51455)"
65532,FALSE,TRUE,"c(25.00746, 45.44428)"
65540,TRUE,TRUE,"c(25.04659, 45.48764)"
65531,TRUE,TRUE,"c(25.04833, 45.47655)"
65542,TRUE,TRUE,"c(25.05032, 45.55991)"
65537,TRUE,TRUE,"c(25.03822, 45.5207)"
65526,TRUE,TRUE,"c(25.03862, 45.52541)"
65530,TRUE,TRUE,"c(25.04364, 45.46474)"
65523,TRUE,TRUE,"c(25.00166, 45.51615)"
66060,FALSE,TRUE,"c(24.8708, 47.67472)"
65482,TRUE,TRUE,"c(24.899, 47.529)"
66059,TRUE,FALSE,"c(24.90634, 47.65406)"
65452,FALSE,TRUE,"c(24.824, 47.509)"
66058,FALSE,TRUE,"c(24.82432, 47.64577)"
65541,TRUE,TRUE,"c(24.83396, 45.42299)"
65535,TRUE,TRUE,"c(24.98428, 45.47271)"
65525,TRUE,TRUE,"c(24.98499, 45.47264)"
65536,TRUE,TRUE,"c(24.99483, 45.52591)"
66057,FALSE,TRUE,"c(24.90743, 47.63353)"
65690,FALSE,FALSE,"c(24.91382, 47.53072)"
65539,FALSE,FALSE,"c(24.96727, 45.41888)"
65750,FALSE,TRUE,"c(25.15691, 47.4862)"
65493,TRUE,TRUE,"c(25.157464, 47.68668)"
65962,FALSE,TRUE,"c(25.15782, 46.86738)"
65769,FALSE,TRUE,"c(25.15185, 47.48123)"
65758,FALSE,TRUE,"c(25.15431, 47.47865)"
65753,FALSE,FALSE,"c(25.15571, 47.45954)"
65491,TRUE,TRUE,"c(25.160902, 47.686164)"
65490,TRUE,TRUE,"c(25.160902, 47.686164)"
65489,TRUE,TRUE,"c(25.160902, 47.686164)"
65755,FALSE,FALSE,"c(25.16, 47.46142)"
65963,FALSE,TRUE,"c(25.16024, 46.86573)"
65492,TRUE,TRUE,"c(25.160902, 47.686164)"
65528,TRUE,TRUE,"c(25.15037, 45.44299)"
65547,TRUE,TRUE,"c(25.10883, 45.55269)"
65964,FALSE,TRUE,"c(25.11149, 47.00255)"
65965,FALSE,TRUE,"c(25.11193, 47.00196)"
65545,FALSE,TRUE,"c(25.05793, 45.56185)"
65546,FALSE,FALSE,"c(25.06845, 45.56762)"
65527,TRUE,TRUE,"c(25.07116, 45.5648)"
65761,FALSE,TRUE,"c(25.14403, 47.47159)"
65751,FALSE,TRUE,"c(25.14825, 47.46876)"
65763,FALSE,TRUE,"c(25.1483, 47.47368)"
65543,TRUE,FALSE,"c(25.12755, 45.53209)"
65544,TRUE,TRUE,"c(25.13034, 45.52953)"
65961,FALSE,TRUE,"c(25.13485, 46.95953)"
65978,TRUE,TRUE,"c(23.03479, 46.65798)"
65973,TRUE,TRUE,"c(23.03615, 46.661)"
65979,TRUE,TRUE,"c(23.03686, 46.65802)"
65579,FALSE,TRUE,"c(22.81221, 45.29026)"
65786,FALSE,TRUE,"c(22.81265, 45.39205)"
65974,TRUE,TRUE,"c(23.03449, 46.65931)"
65975,TRUE,TRUE,"c(23.0374, 46.66098)"
65743,TRUE,TRUE,"c(23.10524, 46.70462)"
65987,TRUE,TRUE,"c(23.10667, 46.57553)"
65988,TRUE,TRUE,"c(23.10688, 46.57654)"
65976,TRUE,TRUE,"c(23.03875, 46.65867)"
65977,FALSE,FALSE,"c(23.04074, 46.66135)"
65986,TRUE,TRUE,"c(23.0972, 46.57891)"
65692,TRUE,TRUE,"c(22.71375, 46.63507)"
65693,TRUE,TRUE,"c(22.71433, 46.6356)"
65577,TRUE,TRUE,"c(22.71591, 45.30821)"
66014,TRUE,TRUE,"c(22.70934, 46.72197)"
66025,TRUE,TRUE,"c(22.70962, 46.72459)"
66024,TRUE,FALSE,"c(22.70973, 46.72542)"
65694,TRUE,TRUE,"c(22.71725, 46.63451)"
65578,TRUE,TRUE,"c(22.79672, 45.30494)"
65787,FALSE,FALSE,"c(22.81184, 45.39232)"
65788,FALSE,TRUE,"c(22.81221, 45.39182)"
65574,TRUE,TRUE,"c(22.71987, 45.31072)"
65576,TRUE,TRUE,"c(22.72606, 45.30967)"
65552,TRUE,TRUE,"c(22.75237, 45.39958)"
65745,FALSE,FALSE,"c(23.10719, 46.70299)"
65990,TRUE,TRUE,"c(23.17455, 46.60641)"
65991,TRUE,TRUE,"c(23.17505, 46.60657)"
65982,FALSE,TRUE,"c(23.17538, 46.61233)"
65981,TRUE,TRUE,"c(23.12941, 46.69423)"
65695,TRUE,TRUE,"c(23.16472, 45.39433)"
65696,TRUE,TRUE,"c(23.16574, 45.39604)"
65983,TRUE,FALSE,"c(23.17581, 46.62572)"
66071,FALSE,TRUE,"c(23.2401, 46.25766)"
66075,FALSE,TRUE,"c(23.24215, 46.28965)"
66076,FALSE,TRUE,"c(23.24299, 46.28957)"
66074,FALSE,TRUE,"c(23.23722, 46.28646)"
66072,FALSE,TRUE,"c(23.23805, 46.28665)"
66073,FALSE,TRUE,"c(23.23917, 46.28524)"
65992,TRUE,TRUE,"c(23.12792, 46.59277)"
65999,FALSE,FALSE,"c(23.12795, 46.59315)"
65994,FALSE,FALSE,"c(23.12806, 46.59329)"
65744,FALSE,FALSE,"c(23.10941, 46.70384)"
65985,TRUE,TRUE,"c(23.11858, 46.57808)"
65984,TRUE,TRUE,"c(23.11924, 46.5784)"
65996,FALSE,FALSE,"c(23.12821, 46.59294)"
65989,TRUE,TRUE,"c(23.12884, 46.593)"
65995,TRUE,TRUE,"c(23.12886, 46.59276)"
65980,TRUE,TRUE,"c(23.12893, 46.6937)"
65997,FALSE,FALSE,"c(23.12843, 46.59277)"
65998,FALSE,FALSE,"c(23.12848, 46.59342)"
65993,TRUE,TRUE,"c(23.12859, 46.59308)"
66016,TRUE,FALSE,"c(22.70894, 46.70085)"
65554,TRUE,TRUE,"c(22.60377, 45.4426)"
65555,TRUE,FALSE,"c(22.60477, 45.44237)"
65560,FALSE,TRUE,"c(22.61443, 45.43462)"
66049,FALSE,TRUE,"c(22.60026, 46.76137)"
65557,FALSE,TRUE,"c(22.60088, 45.44936)"
66047,FALSE,TRUE,"c(22.60107, 46.76129)"
66045,TRUE,FALSE,"c(22.6154, 46.76922)"
65559,TRUE,TRUE,"c(22.62832, 45.43142)"
65561,TRUE,TRUE,"c(22.63656, 45.34887)"
65570,FALSE,TRUE,"c(22.64016, 45.31355)"
66051,TRUE,FALSE,"c(22.61655, 46.76882)"
65558,TRUE,TRUE,"c(22.62752, 45.41182)"
65571,TRUE,TRUE,"c(22.62817, 45.28393)"
65565,TRUE,TRUE,"c(22.49593, 45.37781)"
65566,TRUE,TRUE,"c(22.49789, 45.38179)"
65569,TRUE,TRUE,"c(22.54688, 45.35267)"
65568,TRUE,FALSE,"c(22.48829, 45.30506)"
65567,FALSE,TRUE,"c(22.49493, 45.30247)"
65564,TRUE,TRUE,"c(22.49514, 45.37947)"
65556,TRUE,FALSE,"c(22.58241, 45.45594)"
66042,FALSE,FALSE,"c(22.59805, 46.78387)"
66043,FALSE,FALSE,"c(22.59962, 46.78458)"
66048,FALSE,FALSE,"c(22.5997, 46.76123)"
66041,FALSE,TRUE,"c(22.58847, 46.74907)"
66044,FALSE,TRUE,"c(22.59164, 46.74835)"
66050,FALSE,TRUE,"c(22.59224, 46.74797)"
66052,FALSE,TRUE,"c(22.64798, 46.70846)"
66017,TRUE,TRUE,"c(22.69043, 46.69059)"
65749,TRUE,TRUE,"c(22.69844, 46.43141)"
66032,TRUE,TRUE,"c(22.70053, 46.69218)"
65575,FALSE,TRUE,"c(22.67759, 45.33511)"
65553,TRUE,TRUE,"c(22.683, 45.44383)"
66018,TRUE,TRUE,"c(22.68961, 46.69044)"
66033,TRUE,TRUE,"c(22.70062, 46.69276)"
66031,TRUE,TRUE,"c(22.70818, 46.67407)"
66013,TRUE,TRUE,"c(22.70858, 46.72143)"
66015,TRUE,TRUE,"c(22.70895, 46.70127)"
66022,TRUE,TRUE,"c(22.70117, 46.72962)"
66023,FALSE,FALSE,"c(22.70172, 46.73016)"
66030,TRUE,TRUE,"c(22.7069, 46.67497)"
66021,FALSE,FALSE,"c(22.65233, 46.67544)"
66020,TRUE,TRUE,"c(22.65247, 46.67503)"
66034,TRUE,TRUE,"c(22.66457, 46.68816)"
65573,TRUE,TRUE,"c(22.64832, 45.26854)"
65572,TRUE,FALSE,"c(22.64867, 45.26754)"
65562,TRUE,FALSE,"c(22.65073, 45.34482)"
66027,TRUE,TRUE,"c(22.66539, 46.68819)"
66019,TRUE,TRUE,"c(22.66808, 46.68643)"
66046,TRUE,TRUE,"c(22.67395, 46.84857)"
65563,FALSE,TRUE,"c(22.67678, 45.34173)"
66026,TRUE,TRUE,"c(22.66611, 46.68818)"
66028,TRUE,TRUE,"c(22.66688, 46.65151)"
66029,TRUE,TRUE,"c(22.667, 46.65204)"
65775,FALSE,TRUE,"c(23.29589, 46.52904)"
66153,FALSE,TRUE,"c(23.35273, 45.33675)"
65781,FALSE,FALSE,"c(23.31137, 46.53364)"
65782,FALSE,TRUE,"c(23.31199, 46.53411)"
66070,TRUE,TRUE,"c(23.29559, 46.25739)"
65783,TRUE,TRUE,"c(23.282, 46.53165)"
65779,TRUE,TRUE,"c(23.28707, 46.5354)"
65774,FALSE,TRUE,"c(23.29536, 46.52878)"
65784,FALSE,TRUE,"c(23.36271, 46.5334)"
65785,FALSE,TRUE,"c(23.29657, 46.52869)"
65777,FALSE,TRUE,"c(23.30979, 46.53785)"
66069,FALSE,TRUE,"c(23.29641, 46.25746)"
65780,FALSE,TRUE,"c(23.31127, 46.53412)"
65778,FALSE,TRUE,"c(23.31091, 46.53369)"
65776,FALSE,TRUE,"c(23.29608, 46.52831)"
2759,FALSE,TRUE,"c(20.32194, 43.29)"
2760,TRUE,FALSE,"c(20.32194, 43.29)"
2757,FALSE,FALSE,"c(20.32194, 43.29)"
2758,FALSE,FALSE,"c(20.32194, 43.29)"
2756,TRUE,FALSE,"c(20.32194, 43.29)"
72606,FALSE,FALSE,"c(19.947778, 49.160556)"
72593,FALSE,FALSE,"c(19.947222, 49.174722)"
72607,FALSE,FALSE,"c(19.948611, 49.168333)"
72561,FALSE,FALSE,"c(19.948611, 49.173611)"
72073,TRUE,TRUE,"c(20.3, 48.865278)"
70429,TRUE,TRUE,"c(20.299722, 49.171389)"
72953,TRUE,FALSE,"c(19.947778, 49.149444)"
72523,FALSE,FALSE,"c(19.947778, 49.202222)"
72647,TRUE,TRUE,"c(19.948056, 49.151944)"
72454,FALSE,TRUE,"c(19.947139, 49.22275)"
72590,TRUE,TRUE,"c(19.946389, 49.175278)"
72581,FALSE,TRUE,"c(19.946389, 49.155556)"
72595,FALSE,FALSE,"c(19.946667, 49.175)"
72591,FALSE,FALSE,"c(19.946111, 49.160833)"
72558,FALSE,FALSE,"c(19.946389, 49.156667)"
72542,FALSE,FALSE,"c(19.946389, 49.214167)"
72616,TRUE,FALSE,"c(19.946944, 49.175)"
72612,TRUE,FALSE,"c(19.946944, 49.156944)"
72611,FALSE,FALSE,"c(19.946944, 49.173056)"
72605,FALSE,FALSE,"c(19.946667, 49.175278)"
72594,FALSE,FALSE,"c(19.946667, 49.174722)"
72589,FALSE,FALSE,"c(19.946667, 49.175)"
72585,FALSE,FALSE,"c(19.950833, 49.164722)"
70952,FALSE,FALSE,"c(19.950833, 49.174722)"
72586,FALSE,FALSE,"c(19.950556, 49.165)"
72609,FALSE,FALSE,"c(19.949722, 49.165278)"
73124,TRUE,TRUE,"c(19.95, 48.943056)"
72608,TRUE,FALSE,"c(19.951111, 49.1625)"
71965,TRUE,TRUE,"c(20.298056, 49.215)"
73123,FALSE,FALSE,"c(19.952778, 48.945833)"
72656,FALSE,FALSE,"c(19.9525, 49.1475)"
72584,FALSE,FALSE,"c(19.951667, 49.165278)"
72793,TRUE,TRUE,"c(20.298853, 49.221386)"
72645,FALSE,FALSE,"c(19.949722, 49.149444)"
70438,TRUE,TRUE,"c(20.299444, 49.176667)"
70489,TRUE,TRUE,"c(20.299444, 49.176667)"
72618,FALSE,FALSE,"c(19.948889, 49.174444)"
72518,TRUE,FALSE,"c(19.948889, 49.214167)"
70955,FALSE,FALSE,"c(19.948889, 49.168056)"
72596,FALSE,FALSE,"c(19.949167, 49.174722)"
72928,TRUE,TRUE,"c(19.949444, 49.033333)"
72620,TRUE,TRUE,"c(19.949444, 49.171944)"
72619,FALSE,FALSE,"c(19.949167, 49.173889)"
72929,TRUE,TRUE,"c(19.949167, 49.150833)"
72617,FALSE,FALSE,"c(19.949167, 49.175278)"
72512,TRUE,TRUE,"c(19.945833, 49.219722)"
72575,TRUE,FALSE,"c(19.936944, 49.164167)"
72577,FALSE,TRUE,"c(19.936944, 49.161944)"
70431,TRUE,TRUE,"c(20.301389, 49.170278)"
72554,FALSE,FALSE,"c(19.936944, 49.155833)"
72578,FALSE,TRUE,"c(19.936667, 49.171111)"
72576,TRUE,FALSE,"c(19.936667, 49.161667)"
70506,FALSE,TRUE,"c(20.301667, 49.173333)"
72587,TRUE,TRUE,"c(19.937222, 49.154444)"
72563,TRUE,TRUE,"c(19.938333, 49.163889)"
72597,FALSE,FALSE,"c(19.938611, 49.165)"
72574,TRUE,TRUE,"c(19.938611, 49.163333)"
72562,TRUE,TRUE,"c(19.938056, 49.163056)"
72599,FALSE,FALSE,"c(19.937222, 49.170833)"
72573,TRUE,TRUE,"c(19.9375, 49.163611)"
72600,TRUE,TRUE,"c(19.938056, 49.165)"
72570,FALSE,TRUE,"c(19.933889, 49.156389)"
72541,TRUE,TRUE,"c(19.933889, 49.171111)"
72555,FALSE,FALSE,"c(19.934167, 49.156389)"
72569,TRUE,FALSE,"c(19.933611, 49.156389)"
72461,TRUE,FALSE,"c(19.932528, 49.220306)"
72567,TRUE,TRUE,"c(19.933333, 49.153333)"
72517,FALSE,FALSE,"c(19.933333, 49.169722)"
72531,TRUE,FALSE,"c(19.934167, 49.171944)"
72588,FALSE,FALSE,"c(19.935278, 49.156111)"
72603,FALSE,TRUE,"c(19.935833, 49.170556)"
72568,TRUE,TRUE,"c(19.936389, 49.155278)"
72535,FALSE,FALSE,"c(19.934444, 49.203611)"
72550,TRUE,FALSE,"c(19.934167, 49.156389)"
72557,TRUE,FALSE,"c(19.934444, 49.156111)"
72556,FALSE,FALSE,"c(19.934444, 49.156667)"
72553,FALSE,FALSE,"c(19.938611, 49.161111)"
72614,FALSE,FALSE,"c(19.943333, 49.172222)"
72519,FALSE,FALSE,"c(19.943889, 49.215556)"
72522,FALSE,FALSE,"c(19.943889, 49.205278)"
72580,FALSE,FALSE,"c(19.943333, 49.173889)"
72871,FALSE,FALSE,"c(20.300617, 49.242792)"
70816,FALSE,TRUE,"c(20.3, 48.877778)"
72604,FALSE,FALSE,"c(19.943333, 49.173611)"
72887,TRUE,TRUE,"c(20.300072, 49.246806)"
72559,FALSE,FALSE,"c(19.945278, 49.161944)"
72560,FALSE,FALSE,"c(19.945833, 49.173056)"
72592,FALSE,FALSE,"c(19.945833, 49.174167)"
72610,FALSE,FALSE,"c(19.945, 49.171944)"
70982,TRUE,TRUE,"c(19.944444, 49.159722)"
72615,TRUE,FALSE,"c(19.944722, 49.174444)"
72925,FALSE,FALSE,"c(19.944722, 49.149167)"
72598,FALSE,FALSE,"c(19.939167, 49.166389)"
72572,FALSE,TRUE,"c(19.939444, 49.172222)"
72602,TRUE,TRUE,"c(19.939722, 49.159722)"
70416,TRUE,TRUE,"c(20.300833, 49.185)"
72566,TRUE,TRUE,"c(19.938889, 49.153611)"
72601,FALSE,FALSE,"c(19.938889, 49.164444)"
72564,FALSE,FALSE,"c(19.938889, 49.160556)"
72613,FALSE,FALSE,"c(19.939722, 49.1725)"
72520,FALSE,FALSE,"c(19.941389, 49.213889)"
72521,FALSE,FALSE,"c(19.941667, 49.206389)"
72579,FALSE,FALSE,"c(19.942222, 49.173611)"
70415,FALSE,FALSE,"c(20.300833, 49.185)"
72631,FALSE,TRUE,"c(19.94, 49.148889)"
72488,TRUE,TRUE,"c(19.940333, 49.218694)"
70417,TRUE,TRUE,"c(20.300833, 49.185)"
72477,FALSE,TRUE,"c(19.953, 49.22375)"
73090,FALSE,FALSE,"c(20.29315, 49.219817)"
