Sequence No	Turboveg No	Group No	Relevé number	TV2 relevé number	Country	DEG_LON	DEG_LAT	cryptogams	
221	1653	1	1653	003203578	Austria	13.81721	46.79361	6	
222	2338	1	2338	003414020	Austria	13.84105	47.45433	0	
223	2222	1	2222	003409086	Austria	13.83936	47.55504	6	
224	1486	1	1486	003100831	Austria	13.85472	46.96502	6	
225	1218	1	1218	003100143	Austria	13.86197	47.87973	0	
226	2087	1	2087	003405874	Austria	13.85605	48.75529	7	
227	191	1	191	003015553	Austria	13.86197	47.87973	0	
228	2505	1	2505	003425070	Austria	13.87886	46.55108	3	
229	262	1	262	003015859	Austria	13.875	48.775	7	
230	2091	1	2091	003405880	Austria	13.85605	48.75529	7	
231	2089	1	2089	003405877	Austria	13.85605	48.75529	14	
232	1656	1	1656	003203587	Austria	13.85472	46.96502	6	
233	2090	1	2090	003405879	Austria	13.85605	48.75529	5	
234	2086	1	2086	003405873	Austria	13.85605	48.75529	8	
235	2088	1	2088	003405876	Austria	13.85605	48.75529	15	
236	1042	1	1042	003050759	Austria	13.70833	47.575	0	
237	1041	1	1041	003050758	Austria	13.70833	47.575	0	
238	578	1	578	003016970	Austria	13.70833	47.575	0	
239	576	1	576	003016968	Austria	13.70833	47.525	0	
240	2049	1	2049	003205654	Austria	13.70833	47.575	0	
241	1048	1	1048	003050765	Austria	13.70833	47.575	0	
242	575	1	575	003016964	Austria	13.70833	47.575	0	
243	1047	1	1047	003050764	Austria	13.70833	47.525	0	
244	587	1	587	003016984	Austria	13.70833	47.525	0	
245	1051	1	1051	003050768	Austria	13.70833	47.575	0	
246	588	1	588	003016985	Austria	13.70833	47.525	0	
247	1480	1	1480	003100824	Austria	13.70967	47.11605	4	
248	1483	1	1483	003100827	Austria	13.74365	47.06559	7	
249	1651	1	1651	003203571	Austria	13.74365	47.06559	7	
250	2339	1	2339	003414021	Austria	13.80787	47.44816	0	
251	1650	1	1650	003203570	Austria	13.74307	47.06434	11	
252	1648	1	1648	003203562	Austria	13.70967	47.11605	4	
253	1481	1	1481	003100825	Austria	13.74278	46.72016	2	
254	1482	1	1482	003100826	Austria	13.74307	47.06434	11	
255	1649	1	1649	003203566	Austria	13.74278	46.72016	2	
256	1624	1	1624	003203468	Austria	13.27504	47.18904	7	
257	1463	1	1463	003100797	Austria	13.27504	47.18904	7	
258	1203	1	1203	003100092	Austria	13.27543	47.5849	0	
259	1063	1	1063	003051931	Austria	13.29167	47.475	8	
260	1062	1	1062	003051930	Austria	13.29167	47.475	8	
261	1622	1	1622	003203464	Austria	13.27349	46.69532	1	
262	1460	1	1460	003100791	Austria	13.23945	46.57275	0	
263	1617	1	1617	003203447	Austria	13.23945	46.57275	0	
264	1618	1	1618	003203448	Austria	13.24346	46.57246	1	
265	1462	1	1462	003100794	Austria	13.27349	46.69532	1	
266	1461	1	1461	003100792	Austria	13.24346	46.57246	1	
267	1069	1	1069	003051937	Austria	13.29167	47.475	9	
268	1056	1	1056	003051922	Austria	13.29167	47.475	7	
269	1061	1	1061	003051929	Austria	13.29167	47.475	6	
270	1070	1	1070	003051938	Austria	13.29167	47.475	10	
271	1065	1	1065	003051933	Austria	13.29167	47.475	7	
272	1067	1	1067	003051935	Austria	13.29167	47.475	13	
273	1059	1	1059	003051926	Austria	13.29167	47.475	7	
274	1072	1	1072	003051940	Austria	13.29167	47.475	8	
275	1064	1	1064	003051932	Austria	13.29167	47.475	6	
276	1066	1	1066	003051934	Austria	13.29167	47.475	12	
